"Breytingar á vísitölu neysluverðs frá 1988"

"Ár";"Mánuður";"Vísitala neysluverðs Vísitala"
"2017";"Janúar";436.5
"2017";"Febrúar";439.6
"2017";"Mars";439.9
"2017";"Apríl";442.1
"2017";"Maí";443.0
"2017";"Júní";443.0
"2017";"Júlí";442.9
"2017";"Ágúst";444.0
"2017";"September";444.6
"2017";"Október";446.7
"2017";"Nóvember";446.0
"2017";"Desember";447.2
"2018";"Janúar";446.8
"2018";"Febrúar";449.5
"2018";"Mars";452.0
"2018";"Apríl";452.2
"2018";"Maí";451.8
"2018";"Júní";454.6
"2018";"Júlí";454.8
"2018";"Ágúst";455.7
"2018";"September";456.8
"2018";"Október";459.4
"2018";"Nóvember";460.5
"2018";"Desember";463.9
"2019";"Janúar";462.0
"2019";"Febrúar";462.9
"2019";"Mars";465.3
"2019";"Apríl";467.0
"2019";"Maí";468.0
"2019";"Júní";469.8
"2019";"Júlí";468.8
"2019";"Ágúst";470.1
"2019";"September";470.5
"2019";"Október";472.2
"2019";"Nóvember";472.8
"2019";"Desember";473.3
